,Address,Telephone,Fax_number,Email,Internet,Ofizieller Name,Hauptsitz,Branche,Unternehmensgegenstand,Handelsregister,Rechtsform,Firmengründung,Stammkapital
0,"('Kur- + Bäder GmbH Bad Dürrheim', 'Luisenstrasse 4', '78073', 'Bad Dürrheim')",+49 (07726) 6660,+49 (07726) 666301,,http://tourismus.badduerrheim.de,Kur- + Bäder GmbH Bad Dürrheim,Bad Dürrheim,../branchenbuch/branche_93.41.php,"HRB 600143, Amtsgericht Freiburg",DE142996130,GmbH: Gesellschaft mit beschränkter Haftung,Uwe Winter,Stadt Bad Dürrheim
1,"('Bad Dürrheimer Mineralbrunnen GmbH + Co. KG Heilbrunnen', 'Seestrasse 11', '78073', 'Bad Dürrheim')",+49 (07726) 6609 0,+49 (07726) 6609 295,mailto:gl@bad-duerrheimer.de,http://www.bad-duerrheimer.de,Bad Dürrheimer Mineralbrunnen GmbH + Co. KG Heilbrunnen,Bad Dürrheim,../branchenbuch/branche_15.98.php,"HRA 601029, Amtsgericht FreiburgHRB 600929, Amtsgericht Freiburg",DE143002321,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,"Bernhard Wolf
Ulrich Lössl",170 in Deutschland
2,"('Kunststoff Christel GmbH + Co. KG', 'Carl-Friedrich-Benz-Strasse 6', '78073', 'Bad Dürrheim')",+49 (07726) 9202 0,+49 (07726) 9202 50,mailto:info@kunststoff-christel.de,http://www.kunststoff-christel.de,Kunststoff Christel GmbH + Co. KG,Bad Dürrheim,../branchenbuch/branche_25.24.php,"HRA 601770, Amtsgericht FreiburgHRB 600408, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,Rainer Christel,180 in Deutschland,1960
3,"('Waldeck Klinik GmbH + Co. KG', 'Waldstrasse 18', '78073', 'Bad Dürrheim')",+49 (07726) 663119,+49 (07726) 8001,mailto:info@klinik-waldeck.com,http://www.klinik-waldeck.com,Waldeck Klinik GmbH + Co. KG,Bad Dürrheim,../branchenbuch/branche_85.11.3.php,"HRA 601730, Amtsgericht FreiburgHRB 601035, Amtsgericht Freiburg",DE170415791,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,Rüdiger Schrenk,
4,"('Goldankauf Südwest GmbH', 'Hörnle 30', '78073', 'Bad Dürrheim')",+49 (07706) 923768,+49 (07706) 923768,mailto:info@goldankauf-suedwest.de,http://www.goldankauf-suedwest.de,Goldankauf Südwest GmbH,Bad Dürrheim (Ortsteil Oberbaldingen),../branchenbuch/branche_74.15.6.php,"Gegenstand des Unternehmens ist der Handel mit Edelmetallen, insbesondere der Ankauf von Edelmetallen. Gegenstand des Unternehmens ist ferner die Übernahme der Geschäftsführung bei anderen Unternehmen gleichen oder ähnlichen Geschäftsgegenstands, insbesondere bei der GASW GmbH & Co. KG mit dem Sitz in Bad Dürrheim.","HRB 705220, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,2010,25.002 Euro
5,"('Ke-Ma-Tec GmbH, Ketterer - Maschinen - Technologie', 'Schwenninger Strasse 8', '78073', 'Bad Dürrheim')",+49 (07726) 9393290,+49 (07726) 9393292,mailto:info@ke-ma-tec.de,http://www.ke-ma-tec.de,"Ke-Ma-Tec GmbH, Ketterer - Maschinen - Technologie",Bad Dürrheim,../branchenbuch/branche_51.81.php,"Gegenstand des Unternehmens ist der Handel mit Werkzeugen und Werkzeugmaschinen jeglicher Art, Maschinenteilen, Maschinenbaukomponenten sowie Messgeräten, Messeinrichtungen und Messmaschinen jeglicher Art, neu und gebraucht, auch im Im- und Export. Gegenstand des Unternehmens ist weiter die Herstellung und der Vertrieb von Maschinen jeglicher Art zur spanabtragenden und spanlosen Formgebung, die Beratung, die Planung, die Entwicklung, das Engineering und die Lieferung von Produktionsanlagen sowie Reparatur-, Wartungs-, Instandhaltungs- und Servicetätigkeiten.","HRB 704804, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,2010,25.000 Euro
6,"('Fink CHEM + TEC OHG', 'Hofstrasse 9', '78073', 'Bad Dürrheim')",+49 (07726) 929655,+49 (07726) 929656,mailto:info@finkct.de,http://www.finkct.de,Fink CHEM + TEC OHG,Bad Dürrheim,../branchenbuch/branche_51.87.php,"Die Herstellung, Marketing und Vertrieb von Dosierpumpen","HRA 701935, Amtsgericht Freiburg",OHG: Offene Handelsgesellschaft,2010,
7,"('GASW GmbH + Co. KG', 'Hörnle 30', '78073', 'Bad Dürrheim')",+49 (07706) 923721,+49 (07706) 923768,mailto:info@goldankauf-suedwest.de,http://www.goldankauf-suedwest.de,GASW GmbH + Co. KG,Bad Dürrheim (Ortsteil Oberbaldingen),../branchenbuch/branche_51.18.2.php,"der Handel mit Edelmetallen, insbesondere der Ankauf von Edelmetallen","HRA 701936, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,2010,
8,"('Immo Group Invest GmbH', 'Auf Stocken 4', '78073', 'Bad Dürrheim')",+49 (07726) 938720,+49 (07726) 9387210,mailto:info@immogroup-invest.com,http://www.immogroup-invest.com,Immo Group Invest GmbH,Bad Dürrheim,../branchenbuch/branche_74.87.7.php,"Gegenstand des Unternehmens ist die Verwaltung eigenen Vermögens im eigenen Namen und auf eigene Rechnung insbesondere durch den Erwerb, das Halten, die Vermietung und Verpachtung, das Verwalten sowie die Veräusserung von Immobilien oder Beteiligungen an Immobiliengesellschaften und den Erwerb, das Halten und Veräusserung von Finanzanlagen sowie die Übernahme der Geschäftsführung und der persönlichen Haftung für Beteiligungsgesellschaften.","HRB 708776, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,2012,
9,"('Kim-Tec Industrial Rework UG (haftungsbeschränkt)', 'Stammstrasse 36/1', '78073', 'Bad Dürrheim')",+49 (07706) 922828,+49 (07706) 922834,mailto:info@kimtec-rework.eu,http://www.kimtec-rework.eu,Kim-Tec Industrial Rework UG (haftungsbeschränkt),Bad Dürrheim,../branchenbuch/branche_74.34.php,"Rework, IPC -Training, Qualitätskontrollen und Selektionen für die Elektronische Industrie und die Metall- und Elektroindustrie sowie der Handel mit Laborwaren.","HRB 706793, Amtsgericht Freiburg",UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt),2011,
