,Name,Email
0,CBDwelt.de der Endower                            GmbH,info@cbdwelt.de
1,EASYFITNESS Franchise                             GmbH,info@easyfitness.club
2,ganio.de                            Einzelunternehmen,info@ganio.de
3,Eine Marke der Centerboard Holdings                             Incorporation,service@herbano.com
4,This Is Vegan - Plantbased Lifestyle Magazin                            Einzelunternehmen,info@this-is-vegan.com
5,SONNENTOR Kräuterhandelsgesellschaft                            mbH,online@sonnentor.com
6,Vegan Box                            GmbH,info@vegan-box.de
7,Compster                            GbR,info@wurmturm.com
8,Styleholz                            GmbH,hallo@styleholz.com
9,Kazi Yetu                            UG,hello@kazi-yetu.com
10,Lunettes Selection                            Einzelunternehmen,info@lunettes-selection.de
11,Blanks                             GmbH & Co. KG,team@vom-achterhof.de
12,Rund um die Biene                            e.U.,info@rund-um-die-biene.at
13,Vegablum                            KG,info@vegablum.de
14,JOY NATURALS GmbH                            GmbH,a.herlbauer@joy-naturals.at
15,TeeGschwendner                            GmbH,teemail@teegschwendner.de
16,Balteschwiler Consulting                            Einzelfirma,info@balteschwilerconsulting.ch
17,Honest & Rare                            UG,cheers@honest-rare.de
18,NakedNature Naturkosmetik                            Einzelunternehmen,kontakt@nakednature.de
19,Futonwerk & Neonatura                            GmbH,ug@futonwerk.de
20,BKK ProVita – Die Kasse fürs Leben.                            -,info@bkk-provita.de
21,Peel Of Tea                            UG,office@peel-of-tea.de
22,Govinda Natur                             GmbH,info@govindanatur.de
23,Fachingen Heil- und Mineralbrunnen                            GmbH,info@fachingen.de
24,Blaufaktor GmbH & Co. KG                            GmbH & Co. KG,info@blaufaktor.de
25,Linario                            GmbH,mail@linario.de
26,Zimply Natural                             GmbH,kontakt@zimplynatural.de
27,Fontaine Nahrungsmittel                            GmbH,info@fontainefood.de
28,Lichtgrün                            GmbH,info@lichtgruen-cosmetics.com
29,Kaufdahoam.at                            OG,Office@kaufdahoam.at
30,bluvion                            GmbH,wecare@blubonbon.com
31,OraGarden                            GmbH,marketing@oragarden.de
32,CONSULTA AG                            Aktiengesellschaft,info@consulta-ag.de
33,Glocal Food & Drinks Rüdiger Olschewski                            GbR,info@glocalgin.de
34,Forever Thirsty                            GmbH,contact@forever-thirsty.com
35,Kluuf                            GmbH,info@kluuf.com
36,LANGE & REBSCH GROUP                            GmbH,hallo@liebelei.me
37,Grote & Co. Spirits oHG                            oHG,grote@grote-spirits.com
38,greenyogashop                            GmbH,info@greenyogashop.com
39,Delinat                            AG,kundenservice@delinat.com
40,Value for Generations                            GmbH,greenkitchen.val4gen@gmail.com
41,Bioland Weingut Ansgar Galler                            Einzelunternehmen,mail@weingut-galler.de
42,bamtoo                            Einzelunternehmen,info@bamtoo.de
43,lkm                            kmlk,noack@jobverde.de
44,Feel                             Limited Company,hallo@wearefeel.com
45,caámate                            Einzelunternehmen,info@caamate.de
46,EVR Medical Conceptions                             GmbH,info@dermaplan.de
