,Name,Email
0,Mäx & Mäleon                            GmbH,hello@maeleon.info
1,youforfuture - DEUTIM                            GmbH,wald@deutim.de
2,HausbootGeist ®                            GbR,info@hausbootgeist.de
3,WATTSTUNDE                            GmbH,info@wattstunde.de
4,GOBAX Bikes                            GmbH & Co. KG,info@gobax-bikes.de
5,Klima Kontor - Planung und Beratung                            GmbH,info@klima-kontor.de
6,Holztechnik Bernickel Carport & Holzbau                            Einzelunternehmen,info@holztechnik-bernickel.de
7,Schwalbe - Ralf Bohle GmbH                            GmbH,info@schwalbe.com
8,LINY                            Einzelunternehmen,kontakt@liny-bikes.de
9,Ca Go Bike                            GmbH,info@cagobike.com
10,E Bonus                            GbR,info@service-e-bonus.de
11,LEGEND EBIKES                            GmbH,kontakt@legendebikes.com
12,Sole Runner                            Einzelunternehmen,info@sole-runner.com
13,Geotab                             GmbH,infode@geotab.com
14,Tout Terrain                            GmbH & Co. KG,info@tout-terrain.de
15,Sixt                             SE,kundenbetreuung(at)sixt.com
16,Antonia Berndt & Julia Meinert                            GbR,info@antoniaberndt.de
17,KLIMA ARENA                             Der Klima-Erlebnisort,besucherinfo@klima-arena.de
18,ZIMMER Fahrradtaschen                            RAFU + ZIMMER OHG,mail@zimmer-taschen.de
19,e-motion Experts                            GmbH,info@emotion-technologies.de
20,pliant                            GmbH,info@getpliant.com
21,GETAWAY                            GETAWAY GmbH,info@get-a-way.com
22,BS BERLIN SHUTTLE                            GmbH,info@berlin-shuttle.de
23,Bundesverband eMobilität e.V. (BEM)                            e.V.,info@bem-ev.de
24,atmosfair                            gGmbH,info@atmosfair.de
25,REBEL Marketing                             GmbH,atzler@e-miglia.com
26,e-bike erfahren                            Gbr (Uniprojekt auf Zeit),ebike-erfahren@mail.de
27,ubitricity Gesellschaft für verteilte Energiesysteme mbH                            GmbH,contact@ubitricity.com
28,Berlin Linien Bus GmbH                            GmbH,info@berlinlinienbus.de
29,SEG Sonnenrepublik Energie GmbH                            GmbH,info@sonnenrepublik.de
30,eMobilitätOnline.de                            Einzelunternehmen,info@emobilitaetonline.de
31,Urwahn Engineering                            GmbH,info@urwahnbikes.de
32,Transportrad MV                            Einzelunternehmung,kontakt@transportrad-mv.de
33,"WattRad,Anja Wegner                            Einzelfirma",info@wattrad.com
34,City Express Logistik GmbH                            GmbH,mail@cityexpress.de
35,Egret                            Walberg Urban Electrics GmbH,info@my-egret.com
36,e-Formel.de                            Einzelunternehmen,contact@e-formel.de
37,TRANKVILE electric vehicles                            Einzelunternehmer,office@trankvile.com
38,scuddy - Faltbare Elektroscooter                            GmbH & Co. KG,info@scuddy.de
39,my Boo                            GmbH,contact@my-boo.de
40,cambio Mobilitätsservice                             GmbH & CoKG,info@cambio-carsharing.de
41,Grüne Autos Magazin (Angebot von TAN Media)                            Einzelunternehmen,info@grueneautos.com
42,FMS Future Mobility Solutions                             GmbH,info@future-mobility-solutions.com
43,EcoLibro GmbH                            GmbH,info@ecolibro.de
44,e-bility                            GmbH,info@electronic-mobility.com
45,mika amaro Urban Bikes                            -,info@mika-amaro.com
46,Bundesverband Bioenergie (BBE)                            e. V.,geisen@bioenergie.de
47,Lastenrad-Fabrik                            Einzelfirma,info@lastenrad-fabrik.de
48,Carglass                            GmbH,Empfang@CARGLASS.de
49,Croozer                            GmbH,info@croozer.com
50,Eco-Consult GmbH                            GmbH,info@ecofahr.com
51,EIGHT                            GmbH @ Co. KG,info@eight.eu
52,GOVECS SCOOTER                            AG,hello@govecs.com
53,FISCHER - die fahrradmarke                            GmbH,info@fischer-fahrrad.de
54,Stadtwerke Nürtingen                            GmbH,stadtwerke@sw-nuertingen.de
55,Heindl Server GmbH / eMobilServer                            GmbH,info@innotech-medien.de
56,StreetScooter Research                            GmbH,info@streetscooter-research.eu
57,tamyca                            GmbH,info@tamyca.de
58,Ducktrain                             DroidDrive GmbH,contact@ducktrain.io
59,Babboe                            BV,info@babboe.de
60,BlaBlaCar                            S.A.,info@blablacar.de
