,Address,Telephone,Fax_number,Email,Internet,Ofizieller Name,Hauptsitz,Branche,Unternehmensgegenstand,Handelsregister,Rechtsform,Firmengründung,Stammkapital
0,"('AHA IT GmbH', 'Hans-Thoma-Strasse 26', '78086', 'Brigachtal')",+49 (089) 66593080,,mailto:info@aha-it.de,http://www.aha-it.de,AHA IT GmbH,Brigachtal,../branchenbuch/branche_72.22.php,"Gegenstand des Unternehmens ist die Gesellschaft berät und unterstützt ihre Auftraggeber im Bereich der Informationstechnologie. Dazu gehören Erstellung von Individual- und Standardsoftware, inkl. des Vertriebs, darüber hinaus Beratung, Konzeption und Erstellung von Internet-, Intranet- und Extranet-Lösungen sowie Internetproviding und damit zusammenhängende Dienstleistungen.","HRB 706439, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,2011,25.000 Euro
1,"('BST GmbH', 'Im Belli 62', '78086', 'Brigachtal')",+49 (07721) 6980300,+49 (07721) 6980320,mailto:info@b-s-trading.com,http://www.b-s-trading.com,BST GmbH,Brigachtal (Ortsteil Überauchen),../branchenbuch/branche_51.1.php,"Handel, Import, Export, Transport, Distribution und Distribution von Handelsprodukten, Grosshandel, Einzelhandel, Beratungs- und Managementdienstleistungen.","HRB 703263, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,
2,"('Haas + Letze GmbH', 'An dem Sturmbühl 2', '78086', 'Brigachtal')",+49 (07721) 409293,+49 (07721) 504322,mailto:haas@haas-letze.de,http://www.haas-letze.de,Haas + Letze GmbH,Brigachtal,../branchenbuch/branche_72.1.php,"Gegenstand des Unternehmens ist die Beratung, Planung und Installation von hochverfügbaren Netzwerken, die Beratung und der Handel mit EDV-Geräten aller Art sowie alle Dienstleistungen der IT-Branche.","HRB 702578, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,
3,"('Norbert Weissmann e.K.', 'Beim Kalkwerk 1', '78086', 'Brigachtal')",+49 (07721) 202660,+49 (07721) 202670,,http://www.neukauf-weissmann.de,Norbert Weissmann e.K.,Brigachtal (Ortsteil Klengen),../branchenbuch/branche_52.1.php,"HRA 700332, Amtsgericht Freiburg",e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),Norbert Weissmann,,
4,"('Mahler Hausverwaltung UG (haftungsbeschränkt)', 'Hauptstrasse 4', '78086', 'Brigachtal')",+49 (07721) 6806819,+49 (07721) 6806859,,,Mahler Hausverwaltung UG (haftungsbeschränkt),Brigachtal,../branchenbuch/branche_70.32.php,"Gegenstand des Unternehmens ist die Verwaltung von Immobilien, insbesondere die Mietverwaltung und die Verwaltung von Wohnungseigentumsanlagen.","HRB 707240, Amtsgericht Freiburg",UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt),2011,
5,"('Objektgesellschaft Star Inn Hotel Plieningen GmbH + Co. KG', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Objektgesellschaft Star Inn Hotel Plieningen GmbH + Co. KG,Brigachtal,../branchenbuch/branche_70.2.php,"Erwerb, Bebbauung, Umbau, langfristige Vermietung und Verkauf von Immobilien und Grundstücken","HRA 702769, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,2012,
6,"('Carl-Heinz Scholz Verwaltungs-GmbH', 'Überaucher Strasse 6-8', '78086', 'Brigachtal')",+49 (07721) 98700,,,,Carl-Heinz Scholz Verwaltungs-GmbH,Brigachtal (Ortsteil Kirchdorf),../branchenbuch/branche_74.15.6.php,"Gegenstand des Unternehmens ist die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Gesellschaften, die im Grosshandel mit sowie in der Aufbereitung von Schrott und Metallen sowie Alt- und Abfallstoffen tätig sind, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Kommanditgesellschaft unter der Firma Carl-Heinz Scholz GmbH & Co. KG mit Sitz in Brigachtal.","HRB 700873, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,"Scholz, Thomas, Villingen-Schwenningen",
7,"('INVEST 13 Investorengesellschaft mbH', 'Ob der Wanne 19', '78086', 'Brigachtal')",+49 (07721) 917801,,,,INVEST 13 Investorengesellschaft mbH,Brigachtal,../branchenbuch/branche_74.87.2.php,Gegenstand des Unternehmens ist die Verwaltung von eigenem Grundbesitz und eigenem Kapitalvermögen.,"HRB 701850, Amtsgericht Freiburg",GmbH: Gesellschaft mit beschränkter Haftung,,
8,"('Kommunalprojekt ppp AG', 'Steinwiesen 12', '78086', 'Brigachtal')",+49 (07721) 903084,,,,Kommunalprojekt ppp AG,Brigachtal,../branchenbuch/branche_70.11.2.php,"die überregionale Erbringung von Dienst- und Werkleistungen in Zusammenhang mit Immobilien für Kommunen, Länder, den Bund oder sonstige Dritte, insbesondere die Projektentwicklung und die Bauträgerschaft sowie der Erwerb, die Veräusserung und die Vermittlung von Grundbesitz.","HRB 702646, Amtsgericht Freiburg",AG: Aktiengesellschaft,,
9,"('Markus Baumgart Brandschutzsysteme GmbH + Co. KG', 'Ringstrasse 17', '78086', 'Brigachtal')",+49 (07721) 2060280,,,,Markus Baumgart Brandschutzsysteme GmbH + Co. KG,Brigachtal,../branchenbuch/branche_51.18.php,Vertrieb und Handel mit Produkten für den vorbeugenden Brandschutz in Gebäuden und technischen Anlagen sowie Einbau derselben.,"HRA 701621, Amtsgericht Freiburg",GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,,
