,Address,Telephone,Fax_number,Email,Internet,Ofizieller Name,Hauptsitz,Branche,Unternehmensgegenstand,Handelsregister,Rechtsform,Firmengründung,Stammkapital
0,"('IEF-Werner GmbH', 'Wendelhofstrasse 6', '78120', 'Furtwangen')",+49 (07723) 925 0,+49 (07723) 925100,mailto:info@ief-werner.de,http://www.ief-werner.de,IEF-Werner GmbH,Furtwangen,../branchenbuch/branche_29.22.php,"HRB 611072, Amtsgericht Freiburg",DE141909240,GmbH: Gesellschaft mit beschränkter Haftung,Manfred Bär,130 in Deutschland
1,"('KOEPFER Zahnrad- und Getriebetechnik GmbH', 'Josef-Koepfer-Strasse 8', '78120', 'Furtwangen')",+49 (07723) 655 0,+49 (07723) 655133,mailto:info@koepfer.com,http://www.koepfer.com,KOEPFER Zahnrad- und Getriebetechnik GmbH,Furtwangen,../branchenbuch/branche_29.14.php,"Gegenstand des Unternehmens ist die Entwicklung, Produktion und der Vertrieb von mechanischen Teilen, insbesondere von Zahnrädern und Getrieben.","HRB 701454, Amtsgericht Freiburg",DE256154337,GmbH: Gesellschaft mit beschränkter Haftung,"Bernd Max Angst
Dr. Thomas Koepfer
Thomas Kampmann"
2,"('S. Siedle + Söhne Telefon- und Telegrafenwerke OHG', 'Bregstrasse 1', '78120', 'Furtwangen')",+49 (07723) 63 0,+49 (07723) 63 300,mailto:info@siedle.de,http://www.siedle.de,S. Siedle + Söhne Telefon- und Telegrafenwerke OHG,Furtwangen,../branchenbuch/branche_32.2.php,"HRA 610683, Amtsgericht FreiburgHRB 706216, Amtsgericht Freiburg",DE141913584,OHG: Offene Handelsgesellschaft,"Gabriele Siedle
Horst Siedle",Bernhard Wenninger
3,"('Autohaus Mahler GmbH', 'Weibert-Mahler-Strasse 1', '78120', 'Furtwangen')",+49 (07723) 93200,+49 (07723) 932034,mailto:info@autohaus-mahler.de,http://www.autohaus-mahler.de,Autohaus Mahler GmbH,Furtwangen,../branchenbuch/branche_50.1.php,"HRB 611133, Amtsgericht Freiburg",DE281457349,GmbH: Gesellschaft mit beschränkter Haftung,Philipp Mahler,20 in Deutschland
4,"('Bauunternehmung Hermann GmbH', 'Auf dem Moos 4', '78120', 'Furtwangen')",+49 (07723) 652 0,+49 (07723) 652145,mailto:info@bauunternehmung-hermann.de,http://www.bauunternehmung-hermann.de,Bauunternehmung Hermann GmbH,Furtwangen,../branchenbuch/branche_45.21.1.php,"HRB 611019, Amtsgericht Freiburg",DE141912692,GmbH: Gesellschaft mit beschränkter Haftung,Ingo Hermann,160 in Deutschland
5,"('Oskar Ketterer Druckgiesserei GmbH', 'Bregstrasse 24', '78120', 'Furtwangen')",+49 (07723) 93070,+49 (07723) 3428,mailto:gl@ketterer-druckguss.de,http://www.ketterer-druckguss.de,Oskar Ketterer Druckgiesserei GmbH,Furtwangen,../branchenbuch/branche_27.53.php,"HRB 610914, Amtsgericht Freiburg",DE141907674,GmbH: Gesellschaft mit beschränkter Haftung,Bernhard Ketterer,150 in Deutschland
6,"('B. Ketterer Söhne GmbH + Co. KG', 'Bahnhofstrasse 20', '78120', 'Furtwangen')",+49 (07723) 9323 0,+49 (07723) 932350,,http://www.ketterer.de,B. Ketterer Söhne GmbH + Co. KG,Furtwangen,../branchenbuch/branche_29.php,"HRA 610266, Amtsgericht FreiburgHRB 610984, Amtsgericht Freiburg",DE141912789,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,"Eberhard Brumm
Odin Jäger
Robert Jäger",120 in Deutschland
7,"('IP Systeme Gesellschaft für Bildverarbeitung mbH + Co. KG', 'Baumannstrasse 16', '78120', 'Furtwangen')",+49 (07723) 6570,+49 (07723) 657200,mailto:vertrieb@ip-systeme.de,http://www.ip-systeme.de,IP Systeme Gesellschaft für Bildverarbeitung mbH + Co. KG,Furtwangen,../branchenbuch/branche_72.3.php,"HRA 610764, Amtsgericht FreiburgHRB 611519, Amtsgericht Freiburg",DE812085926,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,60 in Deutschland,1996
8,"('Scherzinger Pumpen GmbH + Co. KG', 'Bregstrasse 23-25', '78120', 'Furtwangen')",+49 (07723) 6506 0,+49 (07723) 6506 40,,http://www.scherzinger.de,Scherzinger Pumpen GmbH + Co. KG,Furtwangen,../branchenbuch/branche_29.12.php,"HRA 610295, Amtsgericht FreiburgHRB 610970, Amtsgericht Freiburg",DE141913275,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,Matthias Derse,100 in Deutschland
9,"('tw-elektric Horst Müller GmbH + Co. KG', 'Reibschental 45/1', '78120', 'Furtwangen')",+49 (07723) 9332 0,+49 (07723) 933233,,http://www.tw-elektric.de,tw-elektric Horst Müller GmbH + Co. KG,Furtwangen,../branchenbuch/branche_15.6.php,"HRA 610895, Amtsgericht FreiburgHRB 611837, Amtsgericht Freiburg",DE241329720,GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft,Andreas Müller,100 in Deutschland
10,"('Hilser Uhren - Inhaber: Peter Wehrle e.K.', 'Lindenstrasse 2', '78120', 'Furtwangen')",+49 (07722) 920120,+49 (07722) 920121,mailto:info@hilser.com,http://www.hilser.com,Hilser Uhren - Inhaber: Peter Wehrle e.K.,Furtwangen,../branchenbuch/branche_33.5.php,"die Herstellung von Uhren, Uhrenbestandteilen und damit zusammenhängender Artikel sowie der Handel mit entsprechenden Produkten.","HRA 702070, Amtsgericht Freiburg",e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.),Peter Wehrle,2010
11,"('wemotec UG (haftungsbeschränkt)', 'Sommerbergstrasse 31', '78120', 'Furtwangen')",+49 (07723) 5042280,+49 (07723) 5042282,mailto:info@wemotec.net,http://www.wemotec.net,wemotec UG (haftungsbeschränkt),Furtwangen,../branchenbuch/branche_31.1.php,"Entwicklung und Produktion von Motoren, Antriebssystemen sowie elektronischen Steuerungen für die Industrie.","HRB 704953, Amtsgericht Freiburg",UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt),2010,100 Euro
